Distance(miles);Speed (m/s)
0.0447222222;32.63392
0.0455444444;33.08096
0.0463666666;33.08096
0.0471944444;33.08096
0.0480277778;33.528
0.0488666666;33.528
0.0497166666;33.97504
0.0505777778;34.42208
0.05145;34.86912
0.0523277778;35.31616
0.0532111111;35.31616
0.0541055555;35.7632
0.0550055555;36.21024
0.0559055555;36.21024
0.0568111111;36.21024
0.0577222222;36.65728
0.0586388889;36.65728
0.0595611111;37.10432
0.0604888889;37.10432
0.0614277778;37.55136
0.0623722222;37.9984
0.0633222222;37.9984
0.0642777778;38.44544
0.0652388889;38.44544
0.0662111111;38.89248
0.0671944444;39.33952
0.0681833333;39.78656
0.0691777778;39.78656
0.0701777778;40.2336
0.0711833333;40.2336
0.0721944444;40.68064
0.0732111111;40.68064
0.0742333333;41.12768
0.0752611111;41.12768
0.0762944444;41.57472
0.0773333333;41.57472
0.0783833333;42.02176
0.0794388889;42.4688
0.0805;42.4688
0.0815666666;42.91584
0.0826388889;42.91584
0.0837166666;43.36288
0.0848;43.36288
0.0858944444;43.80992
0.0869944444;44.25696
0.0881;44.25696
0.0892166666;44.704
0.0903388889;45.15104
0.0914611111;45.15104
0.0925888889;45.15104
0.0937277777;45.59808
0.0948722222;46.04512
0.0960222222;46.04512
0.0971777777;46.49216
0.0983388889;46.49216
0.0995055555;46.9392
0.1006722222;46.9392
0.1018388888;46.9392
0.1030111111;46.9392
0.1041944444;47.38624
0.1053833333;47.83328
0.1065722222;47.83328
0.1077611111;47.83328
0.1089555555;47.83328
0.1101555555;48.28032
0.1113611111;48.28032
0.1125722222;48.72736
0.1137888888;48.72736
0.1150111111;49.1744
0.1162333333;49.1744
0.1174611111;49.1744
0.1186944444;49.62144
0.1199333333;49.62144
0.1211777777;50.06848
0.1224222222;50.06848
0.1236722222;50.06848
0.1249277777;50.51552
0.1261888888;50.51552
0.1274555555;50.96256
0.1287222222;50.96256
0.1299944444;50.96256
0.1312722222;51.4096
0.1325499999;51.4096
0.1338333333;51.4096
0.1351222222;51.85664
0.1364166666;51.85664
0.1377166666;52.30368
0.1390222222;52.30368
0.1403333333;52.75072
0.1416444444;52.75072
0.1429611111;52.75072
0.1442833333;53.19776
0.1456111111;53.19776
0.1469444444;53.6448
0.1482833333;53.6448
0.1496277777;54.09184
0.1509722222;54.09184
0.1523222222;54.09184
0.1536777777;54.53888
0.1550388888;54.53888
0.1564055555;54.98592
0.1577777777;54.98592
0.1591555555;55.43296
0.1605333333;55.43296
0.1619166666;55.43296
0.1633055555;55.88
0.1646944444;55.88
0.1660833333;55.88
0.1674722222;55.88
0.168861111;55.88
0.1702555555;55.88
0.171661111;56.32704
0.1730777777;56.77408
0.1744999999;57.22112
0.1759222222;57.22112
0.1773444444;57.22112
0.1787722222;57.22112
0.1802055555;57.66816
0.1816388888;57.66816
0.1830777777;57.66816
0.1845277777;58.1152
0.1859833333;58.56224
0.1874388888;58.56224
0.1888999999;58.56224
0.1903666666;59.00928
0.1918388888;59.00928
0.1933166666;59.45632
0.1947999999;59.45632
0.1962888888;59.90336
0.1977777777;59.90336
0.1992722221;59.90336
0.2007777777;60.3504
0.2022888888;60.79744
0.2038055555;60.79744
0.2053277777;61.24448
0.2068499999;61.24448
0.2083777777;61.24448
0.209911111;61.69152
0.2114444444;61.69152
0.2129777777;61.69152
0.214511111;61.69152
0.2160499999;61.69152
0.2175944444;62.13856
0.2191388888;62.13856
0.2206888888;62.13856
0.2222444444;62.5856
0.2237999999;62.5856
0.2253555555;62.5856
0.226911111;62.5856
0.2284666666;62.5856
0.2300222221;62.5856
0.2315777777;62.5856
0.2331333332;62.5856
0.2346888888;62.5856
0.2362499999;62.5856
0.2378166666;63.03264
0.2393833332;63.03264
0.2409499999;63.03264
0.2425222221;63.03264
0.2440999999;63.47968
0.2456777777;63.47968
0.247261111;63.47968
0.2488499999;63.92672
0.2504388888;63.92672
0.2520277777;63.92672
0.2536222221;63.92672
0.2552222221;64.37376
0.2568222221;64.37376
0.2584222221;64.37376
0.2600222221;64.37376
0.2616222221;64.37376
0.2632277777;64.37376
0.2648388888;64.8208
0.2664499999;64.8208
0.2680555555;64.8208
0.2696555555;64.37376
0.2712555555;64.37376
0.2728499999;64.37376
0.2744388888;63.92672
0.2760222221;63.92672
0.2775999999;63.47968
0.2791777777;63.47968
0.2807499999;63.47968
0.2823166666;63.03264
0.2838777777;63.03264
0.2854333332;62.5856
0.2869888888;62.5856
0.2885444443;62.5856
0.2900944443;62.5856
0.2916388888;62.13856
0.2931833332;62.13856
0.2947277777;62.13856
0.2962722221;62.13856
0.2978166666;62.13856
0.299361111;62.13856
0.3009055554;62.13856
0.3024499999;62.13856
0.3039999999;62.13856
0.3055555554;62.5856
0.307111111;62.5856
0.3086666665;62.5856
0.3102166665;62.5856
0.311761111;62.13856
0.3133055554;62.13856
0.3148499999;62.13856
0.3163888888;62.13856
0.3179277777;61.69152
0.3194722221;62.13856
0.3210166665;62.13856
0.322561111;62.13856
0.3241055554;62.13856
0.3256499999;62.13856
0.3271944443;62.13856
0.3287388888;62.13856
0.3302833332;62.13856
0.3318277777;62.13856
0.3333666665;62.13856
0.3348999999;61.69152
0.3364333332;61.69152
0.3379666665;61.69152
0.3394999999;61.69152
0.3410333332;61.69152
0.3425666665;61.69152
0.3440999999;61.69152
0.3456333332;61.69152
0.3471666665;61.69152
0.3486999999;61.69152
0.3502333332;61.69152
0.3517666665;61.69152
0.3532999999;61.69152
0.3548333332;61.69152
0.3563666665;61.69152
0.3579055554;61.69152
0.3594499999;62.13856
0.3609944443;62.13856
0.3625444443;62.13856
0.3640999999;62.5856
0.3656555554;62.5856
0.367211111;62.5856
0.3687722221;62.5856
0.3703333332;63.03264
0.3718888887;62.5856
0.3734499999;62.5856
0.3750166665;63.03264
0.3765833332;63.03264
0.3781499999;63.03264
0.3797166665;63.03264
0.3812833332;63.03264
0.3828499999;63.03264
0.3844222221;63.03264
0.3859999999;63.47968
0.3875777776;63.47968
0.3891555554;63.47968
0.3907333332;63.47968
0.392311111;63.47968
0.3938888887;63.47968
0.3954666665;63.47968
0.3970444443;63.47968
0.3986222221;63.47968
0.4001999998;63.47968
0.4017777776;63.47968
0.4033555554;63.47968
0.4049333332;63.47968
0.406511111;63.47968
0.4080888887;63.47968
0.4096666665;63.47968
0.4112444443;63.47968
0.4128222221;63.47968
0.4143999998;63.47968
0.4159777776;63.47968
0.4175555554;63.47968
0.4191333332;63.47968
0.420711111;63.47968
0.4222888887;63.47968
0.4238611109;63.47968
0.4254277776;63.03264
0.4269999998;63.03264
0.4285722221;63.47968
0.4301388887;63.03264
0.4317055554;63.03264
0.4332722221;63.03264
0.4348388887;63.03264
0.4364055554;63.03264
0.4379722221;63.03264
0.4395388887;63.03264
0.4411055554;63.03264
0.4426722221;63.03264
0.4442388887;63.03264
0.4458055554;63.03264
0.4473722221;63.03264
0.4489388887;63.03264
0.4505055554;63.03264
0.452072222;63.03264
0.4536388887;63.03264
0.4552055554;63.03264
0.456772222;63.03264
0.4583388887;63.03264
0.4599055554;63.03264
0.4614777776;63.03264
0.4630555554;63.47968
0.4646333332;63.47968
0.4662111109;63.47968
0.4677888887;63.47968
0.4693666665;63.47968
0.4709444443;63.47968
0.4725277776;63.47968
0.4741166665;63.92672
0.4757055554;63.92672
0.4772944443;63.92672
0.4788833332;63.92672
0.480472222;63.92672
0.4820611109;63.92672
0.4836499998;63.92672
0.4852388887;63.92672
0.4868277776;63.92672
0.4884166665;63.92672
0.4900055554;63.92672
0.4915944443;63.92672
0.4931833331;63.92672
0.494772222;63.92672
0.4963611109;63.92672
0.4979499998;63.92672
0.4995444443;63.92672
0.5011444443;64.37376
0.5027444443;64.37376
0.5043444443;64.37376
0.5059444443;64.37376
0.5075444443;64.37376
0.5091444442;64.37376
0.5107444442;64.37376
0.5123444442;64.37376
0.5139444442;64.37376
0.5155444442;64.37376
0.5171444442;64.37376
0.5187444442;64.37376
0.5203444442;64.37376
0.5219444442;64.37376
0.5235444442;64.37376
0.5251444442;64.37376
0.5267444442;64.37376
0.5283444442;64.37376
0.5299444442;64.37376
0.5315444442;64.37376
0.5331444442;64.37376
0.5347444442;64.37376
0.5363388887;64.37376
0.5379277776;63.92672
0.539522222;63.92672
0.5411166665;64.37376
0.5427055553;63.92672
0.5442944442;63.92672
0.5458833331;63.92672
0.547472222;63.92672
0.5490611109;63.92672
0.5506499998;63.92672
0.5522333331;63.92672
0.5538111109;63.47968
0.5553888887;63.47968
0.5569666665;63.47968
0.5585444442;63.47968
0.560122222;63.47968
0.5616999998;63.47968
0.5632777776;63.47968
0.5648555553;63.47968
0.5664333331;63.47968
0.5680111109;63.47968
0.5695888887;63.47968
0.5711666664;63.47968
0.5727444442;63.47968
0.574322222;63.47968
0.5758999998;63.47968
0.5774777776;63.47968
0.5790555553;63.47968
0.5806333331;63.47968
0.5822111109;63.47968
0.5837888887;63.47968
0.5853666664;63.47968
0.5869444442;63.47968
0.588522222;63.47968
0.5900999998;63.47968
0.5916777776;63.47968
0.5932555553;63.47968
0.5948333331;63.47968
0.5964111109;63.47968
0.5979888887;63.47968
0.5995666664;63.47968
0.6011444442;63.47968
0.602722222;63.47968
0.6042999998;63.47968
0.6058777775;63.47968
0.6074555553;63.47968
0.6090333331;63.47968
0.6106111109;63.47968
0.6121888887;63.47968
0.6137666664;63.47968
0.6153444442;63.47968
0.616922222;63.47968
0.6184999998;63.47968
0.6200777775;63.47968
0.6216555553;63.47968
0.6232333331;63.47968
0.6248111109;63.47968
0.6263888886;63.47968
0.6279666664;63.47968
0.6295444442;63.47968
0.631122222;63.47968
0.6326999998;63.47968
0.634272222;63.47968
0.6358388886;63.03264
0.6374055553;63.03264
0.638972222;63.03264
0.6405388886;63.03264
0.6421055553;63.03264
0.6436666664;63.03264
0.645222222;62.5856
0.6467777775;62.5856
0.6483333331;62.5856
0.6498833331;62.5856
0.6514277775;62.13856
0.652972222;62.13856
0.6545166664;62.13856
0.6560555553;62.13856
0.6575888886;61.69152
0.659122222;61.69152
0.6606555553;61.69152
0.6621833331;61.69152
0.6637055553;61.24448
0.6652277775;61.24448
0.6667499997;61.24448
0.668272222;61.24448
0.6697944442;61.24448
0.6713166664;61.24448
0.6728388886;61.24448
0.6743555553;61.24448
0.6758666664;60.79744
0.6773777775;60.79744
0.6788888886;60.79744
0.6803944442;60.79744
0.6818944442;60.3504
0.6833944442;60.3504
0.6848944442;60.3504
0.6863888886;60.3504
0.6878777775;59.90336
0.6893666664;59.90336
0.6908555553;59.90336
0.6923444442;59.90336
0.6938277775;59.90336
0.6953055553;59.45632
0.6967833331;59.45632
0.6982555553;59.45632
0.699722222;59.00928
0.7011888886;59.00928
0.7026555553;59.00928
0.704122222;59.00928
0.7055888886;59.00928
0.7070555553;59.00928
0.7085166664;59.00928
0.709972222;58.56224
0.7114277775;58.56224
0.7128833331;58.56224
0.7143388886;58.56224
0.7157944442;58.56224
0.7172499997;58.56224
0.7187055553;58.56224
0.7201611108;58.56224
0.7216166664;58.56224
0.7230722219;58.56224
0.7245222219;58.56224
0.7259666664;58.1152
0.7274111108;58.1152
0.7288555553;58.1152
0.7302999997;58.1152
0.7317444442;58.1152
0.7331888886;58.1152
0.7346388886;58.1152
0.7360944442;58.56224
0.7375499997;58.56224
0.7390055553;58.56224
0.7404611108;58.56224
0.7419111108;58.56224
0.7433611108;58.1152
0.7448111108;58.56224
0.7462555553;58.1152
0.7477055553;58.1152
0.7491666664;58.56224
0.750633333;59.00928
0.7520999997;59.00928
0.7535666664;59.00928
0.755033333;59.00928
0.7564999997;59.00928
0.7579666664;59.00928
0.759433333;59.00928
0.7608999997;59.00928
0.7623666664;59.00928
0.763833333;59.00928
0.7652999997;59.00928
0.7667666664;59.00928
0.768233333;59.00928
0.7697055553;59.00928
0.771183333;59.45632
0.7726611108;59.45632
0.7741388886;59.45632
0.7756166664;59.45632
0.7770944441;59.45632
0.7785777775;59.45632
0.7800666664;59.90336
0.7815555553;59.90336
0.7830444441;59.90336
0.7845388886;59.90336
0.7860388886;60.3504
0.7875388886;60.3504
0.7890388886;60.3504
0.7905444441;60.3504
0.7920555553;60.79744
0.7935666664;60.79744
0.7950777775;60.79744
0.7965944441;60.79744
0.7981166664;61.24448
0.7996388886;61.24448
0.8011611108;61.24448
0.802683333;61.24448
0.8042055552;61.24448
0.8057277775;61.24448
0.8072555552;61.24448
0.8087888886;61.69152
0.8103277775;61.69152
0.8118722219;62.13856
0.8134166664;62.13856
0.8149611108;62.13856
0.8165111108;62.13856
0.8180666664;62.5856
0.8196277775;62.5856
0.8211944441;63.03264
0.8227611108;63.03264
0.8243277775;63.03264
0.8258999997;63.03264
0.8274777775;63.47968
0.8290555552;63.47968
0.830633333;63.47968
0.8322111108;63.47968
0.8337888886;63.47968
0.8353666663;63.47968
0.8369499997;63.47968
0.8385388886;63.92672
0.8401277775;63.92672
0.8417166663;63.92672
0.8433055552;63.92672
0.8448999997;63.92672
0.8464999997;64.37376
0.8480999997;64.37376
0.8496999997;64.37376
0.8512999997;64.37376
0.8528999997;64.37376
0.8544999997;64.37376
0.8560999997;64.37376
0.8576999997;64.37376
0.8593055552;64.37376
0.8609166663;64.8208
0.8625277774;64.8208
0.8641388886;64.8208
0.8657555552;64.8208
0.867383333;65.26784
0.8690166663;65.71488
0.8706499997;65.71488
0.872283333;65.71488
0.8739222219;65.71488
0.8755666663;66.16192
0.8772111108;66.16192
0.8788555552;66.16192
0.8804999997;66.16192
0.8821444441;66.16192
0.8837888886;66.16192
0.8854388886;66.16192
0.8870944441;66.60896
0.8887499997;66.60896
0.8904111108;66.60896
0.8920777774;67.056
0.8937444441;67.056
0.8954111108;67.056
0.8970777774;67.056
0.8987444441;67.056
0.9004166663;67.056
0.9020944441;67.50304
0.9037722219;67.50304
0.9054499997;67.50304
0.907133333;67.50304
0.9088222219;67.95008
0.9105111108;67.95008
0.9121999997;67.95008
0.9138888885;67.95008
0.9155777774;67.95008
0.9172666663;67.95008
0.9189555552;67.95008
0.9206444441;67.95008
0.9223277774;67.95008
0.9240055552;67.50304
0.9256888885;67.50304
0.927383333;67.95008
0.929083333;68.39712
0.930783333;68.39712
0.932483333;68.39712
0.9341888885;68.39712
0.9358999996;68.84416
0.9376111108;68.84416
0.9393222219;68.84416
0.9410388885;68.84416
0.9427611108;69.2912
0.944483333;69.2912
0.9462055552;69.2912
0.9479277774;69.2912
0.9496555552;69.2912
0.9513888885;69.73824
0.9531222219;69.73824
0.9548611107;69.73824
0.9566055552;70.18528
0.9583499996;70.18528
0.9600944441;70.18528
0.9618388885;70.18528
0.963583333;70.18528
0.9653277774;70.18528
0.9670722219;70.18528
0.9688166663;70.18528
0.9705611107;70.18528
0.9723055552;70.18528
0.9740499996;70.18528
0.9757944441;70.18528
0.9775388885;70.18528
0.9792888885;70.18528
0.9810444441;70.63232
0.9827999996;70.63232
0.9845555552;70.63232
0.9863166663;70.63232
0.988083333;71.07936
0.9898499996;71.07936
0.9916166663;71.07936
0.993383333;71.07936
0.9951499996;71.07936
0.9969222218;71.07936
0.9986999996;71.5264
1.0004777774;71.5264
1.0022555552;71.5264
1.0040333329;71.5264
1.0058111107;71.5264
1.0075944441;71.5264
1.0093833329;71.97344
1.0111722218;71.97344
1.0129611107;71.97344
1.0147499996;71.97344
1.0165388885;71.97344
1.0183277774;71.97344
1.0201222218;71.97344
1.0219222218;72.42048
1.0237222218;72.42048
1.0255222218;72.42048
1.0273222218;72.42048
1.0291222218;72.42048
1.0309222218;72.42048
1.0327277774;72.42048
1.0345388885;72.86752
1.0363499996;72.86752
1.0381611107;72.86752
1.0399722218;72.86752
1.0417833329;72.86752
1.043594444;72.86752
1.0454111107;72.86752
1.0472333329;73.31456
1.0490555552;73.31456
1.0508777774;73.31456
1.0526999996;73.31456
1.0545222218;73.31456
1.056344444;73.31456
1.0581611107;73.31456
1.0599722218;72.86752
1.0617777774;72.86752
1.0635777774;72.42048
1.0653777774;72.42048
1.0671722218;72.42048
1.0689611107;71.97344
1.070744444;71.97344
1.0725222218;71.5264
1.0742999996;71.5264
1.0760722218;71.5264
1.0778333329;71.07936
1.0795888885;70.63232
1.0813388885;70.63232
1.0830833329;70.18528
1.0848222218;70.18528
1.0865555551;69.73824
1.0882833329;69.73824
1.0900055551;69.2912
1.0917222218;69.2912
1.0934333329;68.84416
1.0951388885;68.84416
1.0968388885;68.39712
1.0985333329;68.39712
1.1002166662;67.95008
1.101894444;67.50304
1.1035722218;67.50304
1.105244444;67.50304
1.1069111107;67.056
1.1085777774;67.056
1.1102388885;67.056
1.111894444;66.60896
1.1135499996;66.60896
1.1151999996;66.60896
1.1168388885;66.16192
1.1184722218;65.71488
1.1201055551;65.71488
1.1217333329;65.71488
1.1233499996;65.26784
1.1249555551;64.8208
1.1265555551;64.37376
1.1281499996;64.37376
1.1297388885;63.92672
1.1313222218;63.92672
1.1328999996;63.47968
1.1344777773;63.47968
1.1360499996;63.47968
1.1376166662;63.03264
1.1391777773;63.03264
1.1407333329;62.5856
1.1422888885;62.5856
1.143844444;62.5856
1.145394444;62.5856
1.1469388885;62.13856
1.1484833329;62.13856
1.1500277773;62.13856
1.1515722218;62.13856
1.1531166662;62.13856
1.1546611107;62.13856
1.1562055551;62.13856
1.157744444;62.13856
1.1592777773;61.69152
1.1608111107;61.69152
1.162344444;61.69152
1.1638722218;61.69152
1.165394444;61.24448
1.1669166662;61.24448
1.1684388884;61.24448
1.1699555551;61.24448
1.1714666662;60.79744
1.1729722218;60.79744
1.1744722218;60.3504
1.1759722218;60.3504
1.1774666662;60.3504
1.1789555551;59.90336
1.180444444;59.90336
1.1819277773;59.90336
1.1834055551;59.45632
1.1848777773;59.45632
1.186344444;59.00928
1.1878111107;59.00928
1.1892722218;59.00928
1.1907277773;58.56224
1.1921833329;58.56224
1.1936333329;58.56224
1.1950777773;58.1152
1.1965166662;58.1152
1.1979499995;57.66816
1.1993833329;57.66816
1.2008111107;57.66816
1.2022388884;57.22112
1.2036666662;57.66816
1.2050833329;57.22112
1.2064833329;56.77408
1.2078722218;55.88
1.2092611106;55.88
1.2106499995;55.88
1.2120333329;55.88
1.2134055551;55.43296
1.2147666662;54.98592
1.2161222218;54.53888
1.2174722218;54.53888
1.2188166662;54.09184
1.2201555551;54.09184
1.2214888884;53.6448
1.2228166662;53.6448
1.2241333329;53.19776
1.2254388884;52.75072
1.2267388884;52.30368
1.2280333329;52.30368
1.2293166662;51.85664
1.2305888884;51.4096
1.2318555551;50.96256
1.2331166662;50.96256
1.2343666662;50.51552
1.2356055551;50.06848
1.2368333329;49.62144
1.2380555551;49.1744
1.2392722217;49.1744
1.2404777773;48.72736
1.2416722217;48.28032
1.2428611106;47.83328
1.244044444;47.83328
1.2452166662;47.38624
1.2463777773;46.9392
1.2475277773;46.49216
1.2486722217;46.04512
1.2498111106;46.04512
1.2509388884;45.59808
1.2520555551;45.15104
1.2531611106;44.704
1.2542611106;44.25696
1.2553555551;44.25696
1.2564388884;43.80992
1.2575111106;43.36288
1.2585777773;42.91584
1.2596388884;42.91584
1.2606888884;42.4688
1.2617277773;42.02176
1.2627611106;41.57472
1.2637888884;41.57472
1.2648055551;41.12768
1.2658111106;40.68064
1.2668055551;40.2336
1.267794444;39.78656
1.2687777773;39.78656
1.2697555551;39.33952
1.2707277773;39.33952
1.271694444;38.89248
1.2726555551;38.89248
1.2736111106;38.44544
1.2745666662;38.44544
1.2755222217;38.44544
1.2764722217;38.44544
1.2774166662;37.9984
1.2783555551;37.9984
1.2792888884;37.55136
1.2802166662;37.55136
1.2811388884;37.10432
1.2820555551;37.10432
1.2829666662;36.65728
1.2838722217;36.65728
1.2847722217;36.21024
1.2856666662;36.21024
1.2865555551;35.7632
1.287444444;35.7632
1.2883222217;35.7632
1.2891833328;34.86912
1.2900388884;34.42208
1.2908888884;34.42208
1.2917277773;33.97504
1.2925611106;33.528
1.2933888884;33.528
1.2942055551;33.08096
1.2950111106;32.63392
1.2958111106;32.18688
1.2966055551;32.18688
1.2973888884;31.73984
1.2981611106;31.2928
1.2989277773;30.84576
1.2996888884;30.84576
1.3004388884;30.39872
1.3011777773;29.95168
1.3019055551;29.50464
1.3026277773;29.0576
1.3033444439;29.0576
1.3040499995;28.61056
1.3047499995;28.16352
1.3054444439;28.16352
1.3061333328;27.71648
1.3068166662;27.71648
1.3074888884;27.26944
1.3081555551;26.8224
1.3088166662;26.8224
1.3094666662;26.37536
1.3101055551;25.92832
1.3107388884;25.48128
1.3113666662;25.48128
1.3119833328;25.03424
1.3125888884;24.5872
1.3131833328;24.14016
1.3137722217;23.69312
1.3143555551;23.69312
1.3149277773;23.24608
1.3154944439;22.79904
1.3160555551;22.79904
1.3166111106;22.352
1.3171611106;22.352
1.3176999995;21.90496
1.3182277773;21.45792
1.3187499995;21.01088
1.3192666662;21.01088
1.3197777773;20.56384
1.3202833328;20.56384
1.3207777773;20.1168
1.3212666662;19.66976
1.3217499995;19.66976
1.3222222217;19.22272
1.3226833328;18.77568
1.3231388884;18.32864
1.3235944439;18.32864
1.3240444439;18.32864
1.3244833328;17.8816
1.3249166662;17.43456
1.3253444439;17.43456
1.3257666662;16.98752
1.3261833328;16.98752
1.3265888884;16.54048
1.3269833328;16.09344
1.3273722217;15.6464
1.3277611106;15.6464
1.3281444439;15.6464
1.3285222217;15.19936
1.3288944439;15.19936
1.3292611106;14.75232
1.3296222217;14.75232
1.3299777773;14.30528
1.3303277773;14.30528
1.3306722217;13.85824
1.3310111106;13.85824
1.3313444439;13.4112
1.3316722217;13.4112
1.3319944439;12.96416
1.3323166662;12.96416
1.3326333328;12.96416
1.3329444439;12.51712
1.333255555;12.51712
1.3335611106;12.51712
1.3338611106;12.07008
1.3341611106;12.07008
1.334455555;12.07008
1.3347444439;11.62304
1.3350333328;11.62304
1.3353222217;11.62304
1.335605555;11.62304
1.3358833328;11.176
1.3361611106;11.176
1.3364388884;11.176
1.3367111106;11.176
1.3369777773;10.72896
1.3372444439;10.72896
1.3375111106;10.72896
1.3377722217;10.72896
1.3380277773;10.28192
1.3382833328;10.28192
1.3385388884;10.28192
1.3387944439;10.28192
1.3390499995;10.28192
1.3392999995;10.28192
1.3395444439;9.83488
1.3397888884;9.83488
1.3400333328;9.83488
1.3402777773;9.83488
1.3405166662;9.83488
1.3407499995;9.38784
1.3409833328;9.38784
1.3412166662;9.38784
1.3414499995;9.38784
1.3416888884;9.38784
1.3419333328;9.83488
1.3421777773;9.83488
1.3424222217;9.83488
1.3426722217;9.83488
1.3429277773;10.28192
1.3431833328;10.28192
1.3434444439;10.28192
1.3437111106;10.72896
1.3439777773;10.72896
1.3442444439;10.72896
1.3445166662;10.72896
1.3447944439;11.176
1.3450722217;11.176
1.345355555;11.176
1.3456444439;11.62304
1.3459333328;11.62304
1.3462222217;11.62304
1.3465111106;11.62304
1.3467999995;11.62304
1.3470944439;11.62304
1.3473944439;12.07008
1.3476944439;12.07008
1.3479944439;12.07008
1.3482999995;12.07008
1.3486111106;12.51712
1.3489222217;12.51712
1.3492388884;12.51712
1.3495611106;12.96416
1.3498833328;12.96416
1.3502111106;12.96416
1.3505444439;13.4112
1.3508777773;13.4112
1.3512166662;13.4112
1.3515611106;13.85824
1.351905555;13.85824
1.352255555;13.85824
1.3526111106;14.30528
1.3529666661;14.30528
1.3533277773;14.30528
1.3536944439;14.75232
1.3540611106;14.75232
1.3544333328;14.75232
1.3548111106;15.19936
1.3551888884;15.19936
1.3555722217;15.19936
1.3559611106;15.6464
1.356355555;15.6464
1.356755555;16.09344
1.3571611106;16.09344
1.3575722217;16.54048
1.3579888884;16.54048
1.3584166661;16.98752
1.3588499995;17.43456
1.3592833328;17.43456
1.3597166661;17.43456
1.360155555;17.43456
1.3605999995;17.8816
1.3610499995;17.8816
1.361505555;18.32864
1.3619611106;18.32864
1.3624222217;18.32864
1.3628944439;18.77568
1.3633722217;19.22272
1.363855555;19.22272
1.3643444439;19.66976
1.3648388884;19.66976
1.3653388884;20.1168
1.3658388884;20.1168
1.3663444439;20.1168
1.3668611106;20.56384
1.3673888884;21.01088
1.3679277773;21.45792
1.3684777773;21.90496
1.3690333328;22.352
1.3695944439;22.352
1.3701666661;22.79904
1.3707444439;23.24608
1.3713277773;23.24608
1.3719222217;23.69312
1.3725277773;24.14016
1.3731444439;24.5872
1.3737666661;25.03424
1.3743944439;25.03424
1.3750333328;25.48128
1.3756833328;25.92832
1.3763444439;26.37536
1.3770111106;26.8224
1.3776833328;26.8224
1.3783666661;27.26944
1.3790611106;27.71648
1.3797666661;28.16352
1.3804777773;28.61056
1.3811944439;28.61056
1.3819222217;29.0576
1.3826611106;29.50464
1.3834111106;29.95168
1.3841722217;30.39872
1.3849444439;30.84576
1.3857222217;31.2928
1.386505555;31.2928
1.3872999995;31.73984
1.388105555;32.18688
1.3889166661;32.63392
1.3897277772;32.63392
1.3905444439;32.63392
1.3913722217;33.08096
1.392205555;33.528
1.3930444439;33.528
1.3938944439;33.97504
1.394755555;34.42208
1.3956277772;34.86912
1.396505555;35.31616
1.3973888884;35.31616
1.3982777772;35.7632
